Name,Common Names,Scientific Name,Family,Toxicity,Toxic Principles,Clinical Signs,URL,Image URL
"Adam-and-Eve","Arum; Lord-and-Ladies; Wake Robin; Starch Root; Bobbins; Cuckoo Plant","Arum maculatum","Araceae","dogs; cats","Insoluble calcium oxalates","Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/adam-and-eve","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/arum-r.jpg?itok=206UUxCJ"
"African Wonder Tree","","Ricinus communis","","dogs; cats","Ricin (highly toxic)","Loss of appetite, excessive thirst, weakness, colic, trembling, sweating, loss of coordination, difficulty breathing, depression, bloody diarrhea, seizures, death.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/african-wonder-tree","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/african-wonder-2-r.jpg?itok=P4KjAUwG"
"Alocasia","Elephant's Ear","Alocasia spp.","Araceae","dogs; cats","Insoluble calcium oxalates","Oral irritation, pain and swelling of mouth, tongue and lips, excessive drooling, vomiting (not horses), difficulty swallowing","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/alocasia","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/alocasia-r.jpg?itok=5QWkDXGp"
"Aloe","","Aloe vera","Liliaceae","dogs; cats","Saponins, anthraquinones","Vomiting (not horses), lethargy, diarrhea. The gel is considered edible.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/aloe","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/aloe_vera_aloe-300x200.jpg?itok=zSlTYKxN"
"Amaryllis","Many; Belladonna lily; Saint Joseph lily; Cape Belladonna; Naked Lady","Amaryllis spp.","Amaryllidaceae","dogs; cats","Lycorine and others","Vomiting (not horses), depression, diarrhea, abdominal pain, hypersalivation, anorexia, tremors.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/amaryllis","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/amaryllis-300x200.jpg?itok=DGvJ5GOY"
"Ambrosia Mexicana","Jerusalem Oak; Feather Geranium","Chenopodium botrys","Chenopodiaceae","dogs; cats","Sesquiterpene lactones","Vomiting, anorexia, depression","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/ambrosia-mexicana","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/chenopodium_botrys_ambrosia_mexicana-300x200.jpg?itok=EgiSy_ck"
"American Holly","English Holly; European Holly; Oregon Holly; Inkberry; Winterberry","Ilex opaca","Aquifoliaceae","dogs; cats","saponins","Vomiting (not in horses), diarrhea and depression.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/american-holly","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/english-holly-r.jpg?itok=1HernTtZ"
"American Bittersweet","Bittersweet; Waxwork; Shrubby Bittersweet; False Bittersweet; Climbing Bittersweet","Celastrus scandens","Celastraceae","dogs; cats","Cardenolides, alkaloids","Vomiting (not horses), diarrhea, seizures (rare), weakness","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/american-bittersweet","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/american-bittersweet-r.jpg?itok=OjsmDl4h"
"American Yew","Canada Yew; Canadian Yew","Taxus canadensus","Taxaceae","dogs; cats","Taxine A and B, Volatile oil","Tremors, difficulty breathing, vomiting, seizures (dogs), sudden death from acute heart failure.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/american-yew","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/japanese-yew-r.jpg?itok=EaETXdIS"
"American Mandrake","Mayapple; Indian Apple Root; Umbrella Leaf; Wild Lemon; Hog Apple; Duck's Foot; Raccoonberry","Podophyllum peltatum","Berberidaceae","dogs; cats","Podophyllin","Vomiting, diarrhea, lethargy, panting, coma (rare); dermal - redness, skin ulcers.","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/american-mandrake","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/americanmandrake.jpg?itok=Tk-dK_CN"
"Angelica Tree","Hercules' Club; Devil's Walking Stick; Prickly Ash; Prickly Elder","Aralia spinosa","Araliaceae","dogs; cats","Araliin","Skin and oral irritation, hypersalivation, vomiting, diarrhea","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/angelica-tree","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/aralia_spinosa_angelica_tree-300x200.jpg?itok=Z0ZZ_XCY"
"Andromeda Japonica","Pieris; Lily-of-the-Valley Bush","Pieris japonica","Ericaceae","dogs; cats","Grayanotoxins","Vomiting (not in horses), diarrhea, weakness, cardiac failure","https://www.aspca.org/pet-care/aspca-poison-control/toxic-and-non-toxic-plants/andromeda-japonica","https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/pieris-1-r.jpg?itok=BdjZeDWF"
